_ 1561071732982
addTracksButton add custom tracks
allHg19RS_BW.alwaysZero OFF
allHg19RS_BW.autoScale use vertical viewing range setting
allHg19RS_BW.heightPer 32
allHg19RS_BW.horizGrid OFF
allHg19RS_BW.lineBar bar
allHg19RS_BW.maxY 7
allHg19RS_BW.minY 0
allHg19RS_BW.smoothingWindow 3
allHg19RS_BW.transformFunc NONE
allHg19RS_BW.windowingFunction mean+whiskers
allHg19RS_BW.yLineMark 0
allHg19RS_BW.yLineOnOff OFF
altSeqLiftOverPsl hide
avada hide
c chr15
centerLabels 1
chainNetDanRer7 hide
chromName chr4
clade mammal
cnvDevDelay squish
cnvDevDelayCase squish
cnvDevDelayCase_imgOrd 22
cnvDevDelayCase_sel 1
cnvDevDelayControl_imgOrd 23
cons100way hide
cons46wayViewalign.align.anoCar1 0
cons46wayViewalign.align.bosTau4 0
cons46wayViewalign.align.calJac1 0
cons46wayViewalign.align.cavPor3 0
cons46wayViewalign.align.choHof1 0
cons46wayViewalign.align.dasNov2 0
cons46wayViewalign.align.dipOrd1 0
cons46wayViewalign.align.echTel1 0
cons46wayViewalign.align.equCab2 0
cons46wayViewalign.align.eriEur1 0
cons46wayViewalign.align.felCat3 0
cons46wayViewalign.align.fr2 0
cons46wayViewalign.align.gasAcu1 0
cons46wayViewalign.align.gorGor1 0
cons46wayViewalign.align.macEug1 0
cons46wayViewalign.align.mafChain 1
cons46wayViewalign.align.micMur1 0
cons46wayViewalign.align.myoLuc1 0
cons46wayViewalign.align.ochPri2 0
cons46wayViewalign.align.ornAna1 0
cons46wayViewalign.align.oryCun2 0
cons46wayViewalign.align.oryLat2 0
cons46wayViewalign.align.otoGar1 0
cons46wayViewalign.align.panTro2 0
cons46wayViewalign.align.papHam1 0
cons46wayViewalign.align.petMar1 0
cons46wayViewalign.align.ponAbe2 0
cons46wayViewalign.align.proCap1 0
cons46wayViewalign.align.pteVam1 0
cons46wayViewalign.align.rn4 0
cons46wayViewalign.align.sorAra1 0
cons46wayViewalign.align.speTri1 0
cons46wayViewalign.align.taeGut1 0
cons46wayViewalign.align.tarSyr1 0
cons46wayViewalign.align.tetNig2 0
cons46wayViewalign.align.tupBel1 0
cons46wayViewalign.align.turTru1 0
cons46wayViewalign.align.vicPac1 0
cpgIslandSuper hide
crispr10KRanges hide
crispr10KTargets hide
crisprRanges hide
crisprTargets hide
ct_1MExonarrayV1_2141 dense
ct_1MExonarrayV1_2141_imgOrd 31
ct_ArrayprobesCGH243_4529 dense
ct_ArrayprobesCGH243_4529_imgOrd 12
ct_ArrayprobesCGH325_5242 dense
ct_Baylor8x60K_499 dense
ct_CGH43probes_8479 dense
ct_CGH43probes_8479_imgOrd 11
ct_CancerSusceptibilityGenesSASI_1936_imgOrd 8
ct_CancerWatchList_2769_imgOrd 32
ct_ClinGenHaploinsufficiency_334_imgOrd 9
ct_ClinGenTriplosensitivity_667_imgOrd 10
ct_DGVGoldGain_2473_imgOrd 17
ct_DGVGoldLoss_7347_imgOrd 15
ct_GuysCNVcuration_3395_imgOrd 14
ct_GuysDGVgain_904_imgOrd 18
ct_GuysDGVloss_5778_imgOrd 16
ct_GuysDec_8935_imgOrd 19
ct_GuysInc_9421_imgOrd 20
ct_GuysInfo_4951_imgOrd 7
ct_HIprediction_3353 squish
ct_HIprediction_3353_imgOrd 21
ct_Syndromes_4652 full
ct_Syndromes_4652_imgOrd 3
ct_ebCNV_540_imgOrd 14
ctfile_hg19 /userdata/sessions/euro/fc/devdisorders/f32ea897/ct/ct_genome_euro_18338_42670.bed
cytoBand pack
cytoBandIdeo dense
cytoBand_imgOrd 1
db hg19
dbSnp153Composite hide
decipher squish
decipher_imgOrd 29
dgv squish
dinkL 2.0
dinkR 2.0
displaySubtracks all
dragSelection 1
enableAdvancedJavascript 1
enableHighlightingDialog 1
encTfChipPk hide
exonNumbers 1
expOrder_iscaComposite iscaPathLossCum iscaPathGainCum iscaBenignGainCum iscaBenignLossCum 
fixSeqLiftOverPsl hide
geneReviews squish
geneReviews_imgOrd 5
genomicSuperDups dense
genomicSuperDups_imgOrd 13
gnomadCoverage hide
gnomadExomesAvgCoverage hide
gnomadGenomesAvgCoverage hide
gnomadPLI hide
gnomadStructuralVariants hide
gnomadVariants hide
gtexGene hide
guidelines 1
hg19Patch13 hide
hgFind.matches 
hgPS_DataTableState %7B%22time%22%3A1517219913584%2C%22start%22%3A0%2C%22length%22%3A10%2C%22order%22%3A%5B%5B3%2C%22desc%22%5D%5D%2C%22search%22%3A%7B%22search%22%3A%22%22%2C%22smart%22%3Atrue%2C%22regex%22%3Afalse%2C%22caseInsensitive%22%3Atrue%7D%2C%22columns%22%3A%5B%7B%22visible%22%3Atrue%2C%22search%22%3A%7B%22search%22%3A%22%22%2C%22smart%22%3Atrue%2C%22regex%22%3Afalse%2C%22caseInsensitive%22%3Atrue%7D%7D%2C%7B%22visible%22%3Atrue%2C%22search%22%3A%7B%22search%22%3A%22%22%2C%22smart%22%3Atrue%2C%22regex%22%3Afalse%2C%22caseInsensitive%22%3Atrue%7D%7D%2C%7B%22visible%22%3Afalse%2C%22search%22%3A%7B%22search%22%3A%22%22%2C%22smart%22%3Atrue%2C%22regex%22%3Afalse%2C%22caseInsensitive%22%3Atrue%7D%7D%2C%7B%22visible%22%3Afalse%2C%22search%22%3A%7B%22search%22%3A%22%22%2C%22smart%22%3Atrue%2C%22regex%22%3Afalse%2C%22caseInsensitive%22%3Atrue%7D%7D%5D%7D
